1,Water,2306.24,1025.57,2024-02-25,70
2,Electricity,2282.71,1464.09,2024-12-16,70
3,Gas,260.1,280.78,2024-06-25,70
4,Water,1643.56,1227.38,2024-06-01,5
5,Electricity,766.03,1035.34,2024-12-02,5
6,Gas,2494.13,1279.75,2024-09-11,5
7,Water,251.96,532.98,2024-05-19,20
8,Electricity,148.92,1994.85,2024-07-10,20
9,Gas,744.1,2091.43,2024-03-08,20
10,Water,1216.62,2184.67,2024-05-01,11
11,Electricity,487.58,884.55,2023-12-23,11
12,Gas,1320.65,1783.19,2024-04-16,11
13,Water,308.68,148.71,2024-12-16,43
14,Electricity,2434.54,1083.91,2024-03-07,43
15,Gas,830.18,1847.54,2024-11-21,43
16,Water,1027.7,318.01,2024-08-03,52
17,Electricity,552.86,987.2,2024-07-23,52
18,Gas,1554.87,2021.42,2024-04-10,52
19,Water,477.01,1581.33,2024-02-02,7
20,Electricity,1273.49,613.82,2024-07-08,7
21,Gas,2361.46,1982.94,2024-11-17,7
22,Water,2258.1,1664.25,2024-02-26,37
23,Electricity,1405.75,1281.37,2024-10-21,37
24,Gas,1731.42,1134.4,2024-05-28,37
25,Water,1923.1,274.72,2024-02-20,46
26,Electricity,989.07,796.01,2024-10-25,46
27,Gas,1409.18,956.34,2024-01-11,46
28,Water,754.21,539.72,2024-03-31,6
29,Electricity,2049.75,629.19,2024-10-21,6
30,Gas,192.78,488.18,2024-03-10,6
31,Water,325.62,1921.72,2024-10-06,17
32,Electricity,2429.92,2132.53,2023-12-24,17
33,Gas,1486.61,1748.61,2024-05-02,17
34,Water,873.75,1202.47,2024-08-24,28
35,Electricity,832.12,287.17,2024-02-29,28
36,Gas,1065.75,1165.98,2024-05-13,28
37,Water,614.62,2080.59,2024-11-08,50
38,Electricity,1305.24,544.45,2024-11-29,50
39,Gas,2290.98,466.85,2024-09-22,50
40,Water,536.16,1031.2,2024-10-17,13
41,Electricity,1457.25,643.38,2024-06-06,13
42,Gas,1653.86,2222.58,2024-05-22,13
43,Water,2240.91,241.65,2024-01-04,47
44,Electricity,1502.62,1096.22,2024-05-17,47
45,Gas,186.94,130.02,2024-08-02,47
46,Water,2303.4,1560.29,2024-02-18,10
47,Electricity,1734.4,1091.54,2024-03-26,10
48,Gas,1312.01,421.37,2024-01-11,10
49,Water,975.75,157.02,2024-08-02,18
50,Electricity,2250.67,537.28,2024-11-14,18
51,Gas,384.42,1045.59,2024-05-13,18
52,Water,1594.98,1455.97,2024-08-17,27
53,Electricity,1864.9,2209.94,2024-12-09,27
54,Gas,366.13,2362.71,2024-12-09,27
55,Water,480.4,1777.46,2024-03-14,21
56,Electricity,1232.2,2136.2,2024-04-05,21
57,Gas,1741.97,1416.58,2024-03-09,21
58,Water,537.68,1734.97,2024-07-22,8
59,Electricity,1609.55,2434.51,2024-03-09,8
60,Gas,1653.22,292.79,2024-07-20,8
61,Water,1696.15,343.79,2024-01-03,19
62,Electricity,1299.92,2033.22,2024-09-27,19
63,Gas,2481.94,308.59,2024-04-10,19
64,Water,1513.05,2277.57,2024-06-13,33
65,Electricity,199.83,753.43,2024-07-26,33
66,Gas,932.53,458.64,2024-03-03,33
67,Water,243.85,1436.32,2024-09-04,34
68,Electricity,1563.14,224.15,2024-04-07,34
69,Gas,391.15,1042.79,2024-05-11,34
70,Water,1876.02,184.23,2024-03-14,3
71,Electricity,1982.41,167.15,2024-02-26,3
72,Gas,379.54,1579.03,2024-03-11,3
73,Water,529.74,1779.89,2024-06-14,39
74,Electricity,1072.69,1013.18,2024-12-08,39
75,Gas,617.76,1145.77,2024-06-06,39
76,Water,1479.49,295.89,2024-01-31,48
77,Electricity,419.07,645.64,2024-03-18,48
78,Gas,801.63,1737.34,2024-02-21,48
79,Water,1459.26,525.71,2024-11-03,66
80,Electricity,1070.65,891.17,2024-01-21,66
81,Gas,952.4,1333.11,2024-11-28,66
82,Water,127.33,2331.36,2024-08-01,35
83,Electricity,930.65,1868.68,2024-05-06,35
84,Gas,1557.59,1967.04,2024-11-12,35
85,Water,1179.98,1409.26,2024-10-30,15
86,Electricity,2459.46,836.99,2024-01-17,15
87,Gas,1768.71,1945.1,2024-04-02,15
88,Water,2421.8,817.68,2024-10-30,69
89,Electricity,374.06,1029.63,2024-07-12,69
90,Gas,1913.53,1849.06,2024-12-09,69
91,Water,2352.05,136.46,2024-11-11,22
92,Electricity,1079.79,1962.22,2024-03-31,22
93,Gas,2187.81,360.16,2024-04-11,22
94,Water,1829.21,1020.7,2024-10-05,44
95,Electricity,1628.88,1101.1,2024-06-26,44
96,Gas,1702.89,2439.06,2024-11-19,44
97,Water,1510.32,1598.58,2024-05-17,60
98,Electricity,2245.96,1408.28,2024-06-01,60
